"NU_INSCRICAO","NU_NOTA_MT"
"73ff9fcc02f0a99919906c942c2e1a1042cdcf98",427.687026725175
"71a95f9f1b91a82c65ad94abbdf9f54e6066f968",437.076724818958
"b38a03232f43b11c9d0788abaf060f7366053b6d",596.494255362641
"715494628a50142ce8cb17191cfe6d0f3cae0934",567.836848471452
"e656d6bad65c93fb2880f1eba5037008c8e75774",496.159848057246
"465cd2a6907fb37d9d8ad3c065f0e2dabdba9b13",531.44502987948
"11539e86171bf07d3a36f09377d7f54ebcc8406a",427.583376214829
"043c544a2104aa8a9849f1a703a08d37a2f16839",476.16619731787
"76ba050e64ad100b856f0eaabd8f539d5c7dd185",446.146104725771
"940aede382ccb332fab15d413217695ec44ca765",471.676646654925
"9ad714b116da76d878dd399d187fccc2dd13dd63",592.906532188132
"dd34464a4d780b12a089347ad580418ac57a3055",509.96051935073
"f837a4cb05a5fd59d20138182f5e8c721eadd584",473.991744120958
"051c4f04fcbe385e1b3964aeb87f0a41d7f203d0",415.49995695788
"3d203727f27abd83b71732d88d8cb1cc099f363b",445.501442456431
"cbc301183dec912f3513ca766bf03dd565f3a38f",468.496934239862
"856aa14bcd11bd289a3b970aab0ce1b166f2c50f",648.025919079367
"11282da1ee78c8db45a041db4c744e33df489df0",432.944905439104
"03c67f683a415c2ea09b582248bd4cb08528c19d",604.097830394485
"046e844fb06a07ba30b41521f0065a8d9c6e5024",428.525203600835
"b296bc595a212a2f89a35470a4bdbb3bfc3f7f1a",441.947312596259
"f66c2e5ff22a95fa532e78c7c4bf1d145247211d",440.709681138154
"17f0dd5abd53dea135ffd020e8e8e0761b3a56aa",564.273097613342
"fbbd23fcfb37cf90b8c1f58eafcab62771f3cd71",480.734323762862
"a99286ac4fdce6f63b59569b2d8ed85a5c911ea3",523.628691640306
"f8d4f9a26c5f2023c33701a8888f9c02513a02c7",498.112460505599
"9785b7d9ca2e8dccfe60ecc0cd2abe1ff51906be",463.918301740022
"59bfa081e020013410d9f60f91813964ba749bb2",433.079349179019
"f5e069ee3bc95998464e8ff5da048b7f999921ed",435.515992195404
"e02240b518016d03a1b5bcc6d0a37b7a527ea93d",568.357225413352
"664f44258212a1f7e4086f2b4845d586c543fa3f",475.731976924682
"265cd7befa74a9f2a198fc57baec9858075f8419",459.655276059297
"6f9ac44919bbd204e0ef15185388fd2d4bc61253",494.17608833248
"78de1ee60b55766cc3eba4089e36c57139b66ebd",452.065731632596
"1e61a474acdc043eb39a89c17fab34bd2ea1a940",424.2129540559
"940af68ded6af2875708611051aa7ff3f134d80b",487.096378292561
"e7ec3258f3b280c1ddf452d107fbdc9fb5a6b72e",502.204741655767
"c76ddf6e9f80984e901b12f9462a3cf029bea290",498.776449832679
"7d39df837488ca3fa6e512fd9e20ec7753b4c36d",439.343171416793
"92823d467a2ced9529801e0e8a94802dd88f0c17",425.476026852148
"9d0fbf9bf1bb039de65a6d0e143c9a791c62b941",597.511046515816
"413cbb38b2e2522f8167ffb9daeac1347b281393",475.394804496949
"68985fad004092956a4b4ce94dd53dc76d07eaf7",477.064772916055
"bdca9aeb19521675af15f2c28d86f6bebc45a834",496.896912548822
"b65b19d42b7a4b644fe9f99366dcb37b120862d9",429.353138767172
"eda898aa8ec465cbac70de72ead0c6d688e5f95a",431.424361010409
"8d5c4481d736f6ce27976e400f4245bf10757608",427.09198752395
"c4cea54435c0fd0e171eed4c215479bb3ca86113",442.264669587955
"7d5cd89c6112b9a202a025a24355135bc60848c6",466.667537197914
"b70ab62384aa80545928a311f5b5d3db2f4d87ee",543.58343785638
"c96431dd924f366d2229a7f1455388b8cd85be49",559.924709542629
"dbaa6ee7502cbebb6f058fed5d2f960b19f451ac",435.832006455029
"e724482370ae6126008ade80b564ad8d8a0a7cbd",436.306680269995
"2ef4e2788e2f815f9a885c899f75d5dfeb234a02",667.120162947606
"e14241b5119dc1ff2c99b9c0c478aad23d9d9d05",467.594997101449
"7f898f8939ae054359f83ee154bb91bc7dd2c959",548.067330970265
"3c52d067408ec25a676b6fbf5b5c6d63c77cb6bf",448.211314377356
"82e3b12c6366008fabc238f299f117074e78de5d",414.54124076205
"0d838be0e718ceb786cdb10fcc12559e00440240",488.06138129258
"1b092b6c437359bb84f0d0f8d1286a1083d0e0d4",465.165706022834
"c83fe640ba466ba904ac1055e53a875289888797",450.040263609979
"8855ae8971b9bd9b02c45a82c6c894a2e76ca542",465.266950419124
"a2945f1e7fbadac669590b7d9fafb6c900bca3d0",421.960155696682
"328639a0c753715c30a58bae70c82f2101153eb3",437.834085606651
"643a0eb394b50694c74d5b5fc70b7f7f7c93f9c7",553.592503868604
"f56746cc2900258507d2b32c126f8db090db856f",461.827679070826
"1a4963b5fea8bb25c67750cdafbe84b01efad177",425.547537790816
"b520c940e62f4ed684417e7eacf00d85752060da",483.533173218728
"2e170cf2651ed448991af6fc5df15167733b2d8f",496.22140511042
"6efdd93a0ae289be6bb5a400bfc1deb077d75886",417.187129108029
"72ac2acc787d8cba0934cca3810ac091d792c8db",502.008750935857
"92a25eee14554806f081869cc9dac868fd1860fb",435.016528170576
"1f12a9b01eb9ef227a5482f498f3354bd485d9a3",431.702313320252
"acfcaf61fe2a8ec90ea2648c3125b7dc4dd13b74",462.390907644856
"7ec2f787b9f57044bd98c0d4854f521c9f9ec635",585.919220417921
"e8d2d318a1e057e9cac8384f1269a86c4b36e0a7",436.280226095584
"b45fb481022f31dd47c63c1c3e2ccc3b5915b67d",467.030639762362
"1a46d99716282410d1170f0f35069b34e34415d4",470.600311342666
"0467e022da4ef897f666bc76f31e1bc8976f7e92",485.605939120491
"993aca0d5eac6741117947c82a3647102096255e",435.087936081602
"94c96ade6ade21deb080bba6aad537fc4f195d47",488.450556258358
"36bb672077a46a3e4755cef90437a616d28bdf23",426.349098605978
"e406adf1d4712381dcd4d1c9d78fc9d7f14ff450",405.359501265003
"328ca19128d276eb4fbc309c54ec7f346c803d2f",745.42988582605
"27cdb62f0a2a5467efeb30aafbf246ed2320c532",439.236344683146
